case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv03_consumption_instant_export,Apt3,117.94368032413539,56.76946010330863,62.302322135145836,-8.933825901280557e-17,11.570276044298467,10.442174129979366,0.0,0.0,1.0,0.47176209896176513,5.0,1.0,5.0,16.821626976489377,-1.3114509478384662e-17,0.06806761530288054,1.0084091155982302,-8.743006318923109e-16,1.0084091155982302,8.743006318923109e-16,-1.5942108744226857e-15,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export,Apt4,59.43046312832059,28.605477599243155,31.39352128654726,0.00010879325538222908,5.830020145789251,5.261593181574796,0.0,0.0,0.9999961967684334,0.4717604468475494,5.0,1.0,5.0,8.476244219772438,-3.5677101920009998e-06,0.034298487976407,0.5081257477986222,-0.0002378473461334,0.5081257477986222,0.0002378473461334,-8.504481840976297e-16,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export,Apt5,149.81598662198513,72.11045688926318,79.13848231516971,-4.0505793164058446e-16,14.696949563567054,13.263996981119261,0.0,0.0,1.0,0.4717620989617651,5.0,1.0,5.0,21.367390225095825,-1.1865508575681359e-17,0.08646174950265638,1.2809148074467611,-7.910339050454239e-16,1.2809148074467611,7.910339050454239e-16,-1.6818144099595145e-15,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export,Apt6,278.96668994884067,74.92375967202796,205.7295420493478,1.2524703496552547e-15,17.298582282411687,15.611970509876546,0.0,0.0,1.0,0.2625300816843894,5.0,1.0,5.000000000000001,55.546976353323906,-1.3114509478384662e-17,0.1358758682291909,2.0129758256176427,-8.743006318923109e-16,2.0129758256176427,8.743006318923109e-16,-5.082739784612045e-16,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export,Apt7,91.80731761505041,26.68572202873402,65.81484448147603,0.00016667705798103496,7.108535570273597,6.415453352171925,0.0,0.0,0.9999937540735154,0.2831198406488821,5.0,1.0,5.0,17.769998009375048,-4.820027003395499e-06,0.04051775325969226,0.6002630112547,-0.0003213351335597,0.6002630112547,0.0003213351335597,-1.1809130062712114e-15,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export,Apt8,265.99010256848595,77.31560102103927,190.6826122241534,2.3194581655699986e-05,20.595769047436512,18.587681565311453,0.0,0.0,0.9999997000012759,0.28312140044738215,5.0,0.9999999999999994,5.0,51.48430390884652,-1.3916748992899574e-06,0.11739065714325361,1.73912084656672,-9.27783266193305e-05,1.73912084656672,9.27783266193305e-05,-5.950101522600448e-16,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export,_COMMUNITY,1248.651446164792,411.7021268864032,846.2637748067732,0.0005484961307215392,95.52725161285946,86.21334458060566,0.0,0.0,0.999998667735494,0.3222578026830022,40.0,8.969750589341675,40.0,228.49118628806093,-1.0786690111992625e-05,0.3859110068795144,5.717200101918731,-0.0007191126741328417,5.717200101918731,0.0007191126741328417,-5.493435567549554e-15,846.2637748067732,0.0005484961307215392,0.0,0.0,0.999998667735494,0.3222578026830022,-6.4913986998957456e-18,28.56139828600762,18.499209273399124,8.476244219772438,55.546976353323906,47.070732133551466,0.6476997060211154,0.35037878814512163
b8_pv04_consumption_mean_export,Apt1,42.664936467960885,14.067372557236896,29.28420057926452,-1.1538079519590738e-15,7.04242736964658,6.35579070110604,0.0,0.0,1.0,0.3136237153135008,5.0,1.0,5.000000000000001,7.906734156401422,-1.3947176746853528e-17,0.04802273712931124,0.7114479574712775,-9.298117831235686e-16,0.7114479574712775,9.298117831235686e-16,-6.68519059554562e-15,,,,,,,,,,,,,,
b8_pv04_consumption_mean_export,Apt2,242.03226949001305,79.80225420812178,165.24307717914743,4.702835343373124e-15,30.903198946216925,27.890137048960774,0.0,0.0,1.0,0.3172684058727721,5.0,0.9999999999999994,5.0,44.61563083836981,-2.0816681711721685e-17,0.1178862779727143,1.746463377373545,-1.3877787807814457e-15,1.746463377373545,1.3877787807814457e-15,-4.65599780952175e-15,,,,,,,,,,,,,,
b8_pv04_consumption_mean_export,Apt3,117.94368032413539,38.88808537514646,80.02436124475892,6.123573870198129e-16,9.936064572000147,8.967298276230132,0.0,0.0,1.0,0.32150361066541056,5.0,1.0,5.0,21.606577536084906,-1.3322676295501878e-17,0.08782273184692835,1.3010775088433828,-8.881784197001252e-16,1.3010775088433828,8.881784197001252e-16,-4.167673151034279e-15,,,,,,,,,,,,,,
