,PV_total,Load_total,Alloc_total__equal,Alloc_total__mean_load,Alloc_total__instant_load,Alloc_total__fixed_shares,Alloc_total__hierarchical,Alloc_total__dynamic_windows
99,0.0,0.208241784206016,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.20818027493884653,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.1727891745930091,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.1957321312471846,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.20449097892599902,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.1952338342170085,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.1814682041567115,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.16209278499835952,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.1858924999291808,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.2027152845000038,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.15290530107220848,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.16163961701025928,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.1459866913392157,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.178432829771059,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.5207328789491582,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.5213479716208532,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.4621803508738885,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.23837888227813148,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.2686979881171252,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.25162916647762473,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.2817492929128659,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.2641576425024259,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.23259641975242962,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.2586455943986586,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.2561187515692082,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.2555959227982684,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.22078152319289768,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.1955627236534555,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.1988571723052077,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.2001796215493492,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0477972899663071,0.2038231971083402,0.04779728996630709,0.0477972899663071,0.0477972899663071,0.0477972899663071,0.0477972899663071,0.0477972899663071
130,0.087097283938604,0.2221837133583977,0.087097283938604,0.087097283938604,0.087097283938604,0.087097283938604,0.087097283938604,0.087097283938604
131,0.11471349591913721,0.21213257965724572,0.11471349591913721,0.11471349591913721,0.1147134959191372,0.11471349591913721,0.11471349591913722,0.11471349591913721
132,0.1423297078996702,0.1982314852769677,0.1423297078996702,0.1423297078996702,0.1423297078996702,0.1423297078996702,0.1423297078996702,0.1423297078996702
133,0.1614486238861932,0.2304711613949224,0.1614486238861932,0.16144862388619316,0.1614486238861932,0.1614486238861932,0.1614486238861932,0.1614486238861932
134,0.1795053778734644,0.21930722940368141,0.17950537787346438,0.1795053778734644,0.17950537787346438,0.1795053778734644,0.1795053778734644,0.17950537787346438
135,0.19649996986148488,0.20219883300939223,0.19649996986148488,0.19649996986148488,0.19649996986148488,0.19649996986148488,0.19649996986148488,0.19649996986148488
136,0.21243239985025392,0.22129746046548202,0.2124323998502539,0.21243239985025392,0.21243239985025392,0.21243239985025392,0.21243239985025392,0.21243239985025392
137,0.2336756398352792,0.19452202898708199,0.23367563983527917,0.2336756398352792,0.23367563983527925,0.2336756398352792,0.23367563983527923,0.23367563983527917
138,0.46416479367280516,0.1896627968807017,0.4641647936728051,0.46416479367280516,0.46416479367280516,0.46416479367280516,0.4641647936728052,0.4641647936728051
139,0.831672845413744,0.2131223594129956,0.8316728454137439,0.8316728454137439,0.8316728454137439,0.831672845413744,0.831672845413744,0.8316728454137439
