t,ag1,ag2,ag3
227,0.034731840137169005,0.017396738809598723,0.008766016471043676
228,0.046448605484647555,0.023265518167053637,0.011723226846817408
229,0.05649154721105785,0.02829590047344362,0.014257978597480635
230,0.06941079275414021,0.0284866136122092,0.0143540767532305
231,0.0855515288889817,0.0284866136122092,0.0143540767532305
232,0.07866971019021392,0.03940466140005483,0.01985555538019526
233,0.0854076086112802,0.042729920418314,0.0215311151298457
234,0.11156521615797141,0.0336300299588582,0.0169457850558971
235,0.2229403388553865,0.0336300299588582,0.0169457850558971
236,0.1665055862274882,0.047477689353682,0.0239234612553841
237,0.086974103777491,0.047477689353682,0.0239234612553841
238,0.315081221075105,0.42371639559561447,0.21350581528493323
239,0.3323038158825275,0.5069069724493616,0.2554245895400945
240,0.3274753384097325,0.5696351578095333,0.2870326002186563
241,0.31262085038833,0.6400057649744305,0.3224915392897236
242,0.3246459121199425,0.5617595937198279,0.2830641941119309
243,0.32489194918862,0.6430667014638818,0.32403390995913567
244,0.3122825494188975,0.326013466895285,0.1642744339536377
245,0.332211551981775,0.326013466895285,0.1642744339536377
246,0.3373168211568325,0.45776401528701,0.2306620190011112
247,0.328274958882935,0.45776401528701,0.2306620190011112
248,0.334179848531195,0.2939332458280104,0.14810957976181183
249,0.318894795639605,0.17237782417358127,0.08685920174386631
250,0.271102095049005,0.16171441779870516,0.08148603399428668
251,0.0818380799688485,0.2904912753621127,0.14637521045690177
252,0.0602483271923992,0.3463143555523017,0.17450381810959528
253,0.0777477137020852,0.3517529617979843,0.17724426920511155
254,0.076025454221343,0.2350145623007265,0.1184211332141515
255,0.0646154851614245,0.19168954481252862,0.0965901555196281
256,0.107518199012061,0.0909989045945575,0.0458533007394862
257,0.0761484727556817,0.0909989045945575,0.0458533007394862
258,0.0675371753519697,0.08534719727412605,0.043005470464935955
259,0.0880197613193702,0.05611629312013678,0.028276354273573223
260,0.057418900902608,0.055974479278523594,0.02820489591088761
261,0.05649154721105785,0.02829590047344362,0.014257978597480635
262,0.034731840137169005,0.017396738809598723,0.008766016471043676
263,0.015482868494882519,0.007755172722351213,0.00390774228227247
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.0,0.0,0.0
271,0.0,0.0,0.0
272,0.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,0.0,0.0,0.0
280,0.0,0.0,0.0
281,0.0,0.0,0.0
282,0.0,0.0,0.0
283,0.0,0.0,0.0
284,0.0,0.0,0.0
285,0.0,0.0,0.0
286,0.0,0.0,0.0
287,0.0,0.0,0.0
288,0.0,0.0,0.0
289,0.0,0.0,0.0
290,0.0,0.0,0.0
291,0.0,0.0,0.0
292,0.0,0.0,0.0
293,0.0,0.0,0.0
294,0.0,0.0,0.0
295,0.0,0.0,0.0
296,0.0,0.0,0.0
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,0.0
303,0.0,0.0,0.0
304,0.0,0.0,0.0
305,0.0,0.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
308,0.0,0.0,0.0
309,0.0,0.0,0.0
310,0.0,0.0,0.0
311,0.0,0.0,0.0
312,0.0,0.0,0.0
313,0.0,0.0,0.0
314,0.0,0.0,0.0
315,0.0,0.0,0.0
316,0.0,0.0,0.0
317,0.0,0.0,0.0
318,0.0,0.0,0.0
319,0.0,0.0,0.0
320,0.0,0.0,0.0
321,0.0,0.0,0.0
322,0.028873457463429557,0.014462349130871176,0.007287411283156766
323,0.05439926768472243,0.027247904159612403,0.013729905316092477
324,0.06653448893746831,0.03332628277983368,0.016792730348143905
325,0.07364823932700892,0.036889470246859915,0.018588179504863685
326,0.08159890152708378,0.04087185623941867,0.02059485797413875
327,0.09206029915876107,0.04611183780857485,0.023235224381079587
328,0.10252169679043843,0.05135181937773107,0.02587559078802044
329,0.10822685041272222,0.0534124005228925,0.0269138939123072
330,0.10461397631677395,0.05239981569156234,0.02640366406940862
331,0.25089403974715796,0.0585558168695412,0.0295056022149737
332,0.4305648701856,0.031256145491174,0.0157496119931279
333,0.5335621380607125,0.031256145491174,0.0157496119931279
334,0.4566140448318275,0.302670269629725,0.152512065503074
335,0.43038034238409,0.302670269629725,0.152512065503074
336,0.7130113483106866,0.3220569927824775,0.1622808121823557
337,0.8061874159981833,0.3220569927824775,0.1622808121823557
338,0.6709552164979586,0.3192874609035125,0.1608852769424585
339,0.7579171900609925,0.3192874609035125,0.1608852769424585
340,0.5433113569070575,0.355687022741335,0.179226597238253
341,0.806755548193475,0.355687022741335,0.179226597238253
342,0.9014679757436095,0.36993032954744,0.1864036356148682
343,0.6067610626372895,0.30391893101106177,0.15314125160257014
344,0.4494216422568606,0.22510960821095163,0.11343014084217937
345,0.3385308273610808,0.16956580357789588,0.08544225692860638
346,0.29417450140276835,0.1473482817246733,0.07424710336317704
347,0.2899899423500976,0.1452522890970109,0.07319095680040076
348,0.158601645396224,0.2726215878613474,0.13737088058343824
349,0.097246151394776,0.3290306427043497,0.16579475411983527
350,0.2256775012444232,0.15581838677901544,0.07851509181954602
351,0.19960346681240496,0.09997884833950108,0.05037819104443172
352,0.1816342014886205,0.051434163466489,0.0259170830266662
353,0.1508200688675595,0.051434163466489,0.0259170830266662
354,0.1289310800726318,0.0454994522972787,0.0229266503697431
355,0.10692098534330241,0.0454994522972787,0.0229266503697431
356,0.08285426924288494,0.04150065402771736,0.020911701942971622
357,0.05774691492685935,0.028924698261742474,0.014574822566313591
358,0.03598720785297033,0.018025536597897487,0.009082860439876588
359,0.01757514802121794,0.00880316903618243,0.004435815563660628
360,0.0,0.0,0.0
361,0.0,0.0,0.0
362,0.0,0.0,0.0
363,0.0,0.0,0.0
364,0.0,0.0,0.0
365,0.0,0.0,0.0
366,0.0,0.0,0.0
367,0.0,0.0,0.0
368,0.0,0.0,0.0
369,0.0,0.0,0.0
370,0.0,0.0,0.0
371,0.0,0.0,0.0
372,0.0,0.0,0.0
373,0.0,0.0,0.0
374,0.0,0.0,0.0
375,0.0,0.0,0.0
376,0.0,0.0,0.0
377,0.0,0.0,0.0
378,0.0,0.0,0.0
379,0.0,0.0,0.0
380,0.0,0.0,0.0
381,0.0,0.0,0.0
382,0.0,0.0,0.0
383,0.0,0.0,0.0
384,0.0,0.0,0.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
389,0.0,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.0,0.0
393,0.0,0.0,0.0
394,0.0,0.0,0.0
395,0.0,0.0,0.0
396,0.0,0.0,0.0
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
400,0.0,0.0,0.0
401,0.0,0.0,0.0
402,0.0,0.0,0.0
403,0.0,0.0,0.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,0.0,0.0,0.0
407,0.0,0.0,0.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0,0.0
411,0.0,0.0,0.0
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.024688898410758598,0.012366356503208685,0.006231264720380421
419,0.04184559052670961,0.020959926276624945,0.010561465627763455
420,0.05481772358998965,0.027457503422378716,0.013835519972370145
421,0.06569757712693404,0.032907084254301146,0.016581501035588614
422,0.07783279837967977,0.03898546287452235,0.01964432606764
423,0.0924787550640283,0.04632143707134117,0.023340839037357255
424,0.1332979904154965,0.0328387351362967,0.0165470607016407
425,0.1465040472530943,0.0328387351362967,0.0165470607016407
426,0.18499538157716983,0.0233431972655603,0.0117623684505638
427,0.3007188071910575,0.0233431972655603,0.0117623684505638
428,0.1028127400736042,0.0549949901680152,0.02771134262082
429,0.0585260677116567,0.0549949901680152,0.02771134262082
430,0.077686204434916,0.303461564452285,0.1529107898573302
431,0.0892807012963425,0.303461564452285,0.1529107898573302
432,0.069843772870821,0.29436167399283,0.1483254597833817
433,0.0877737242506927,0.29436167399283,0.1483254597833817
434,0.092848238792166,0.308604980798935,0.155502498159997
435,0.076517528358698,0.308604980798935,0.155502498159997
436,0.097430679196284,0.303857211863565,0.1531101520344585
437,0.0631392627493597,0.303857211863565,0.1531101520344585
438,0.074549231809278,0.3331351202983375,0.1678629531419455
439,0.0802080843888602,0.3331351202983375,0.1678629531419455
440,0.0623396422761577,0.3568739649751775,0.1798246837696375
441,0.0859284462356117,0.3568739649751775,0.1798246837696375
442,0.0977997347993005,0.3042701136908683,0.153318208513243
443,0.1020746288675717,0.2882556422289493,0.14524870065049436
444,0.131014739070761,0.298770882668668,0.15054720929055626
445,0.0951240816774327,0.33434448635595543,0.16847233878006052
446,0.108902157523372,0.23883365853403057,0.12034553185300281
447,0.1058266941649032,0.15745656354819368,0.07934055024013083
448,0.0890961734948342,0.122723640781735,0.0618390301914265
449,0.1140381813320145,0.08320974734718775,0.04192843404617717
450,0.11925993300112249,0.05973578988838116,0.030100177039125875
451,0.10461397631677395,0.05239981569156234,0.02640366406940862
452,0.08620191648502168,0.04317744812984734,0.021756619193192692
453,0.05816537083212633,0.029134297524508666,0.014680437222591197
454,0.034313384231901785,0.01718713954683241,0.008660401814766011
455,0.016319780305416677,0.008174371247883694,0.00411897159482773
456,0.0004184559052669934,0.00020959926276619805,0.00010561465627760864
457,0.0,0.0,0.0
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,0.0,0.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,0.0,0.0,0.0
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,0.0,0.0,0.0
468,0.0,0.0,0.0
469,0.0,0.0,0.0
470,0.0,0.0,0.0
471,0.0,0.0,0.0
472,0.0,0.0,0.0
473,0.0,0.0,0.0
474,0.0,0.0,0.0
475,0.0,0.0,0.0
476,0.0,0.0,0.0
477,0.0,0.0,0.0
478,0.0,0.0,0.0
479,0.0,0.0,0.0
480,0.0,0.0,0.0
481,0.0,0.0,0.0
482,0.0,0.0,0.0
483,0.0,0.0,0.0
484,0.0,0.0,0.0
485,0.0,0.0,0.0
486,0.0,0.0,0.0
487,0.0,0.0,0.0
488,0.0,0.0,0.0
489,0.0,0.0,0.0
490,0.0,0.0,0.0
491,0.0,0.0,0.0
492,0.0,0.0,0.0
493,0.0,0.0,0.0
494,0.0,0.0,0.0
495,0.0,0.0,0.0
496,0.0,0.0,0.0
497,0.0,0.0,0.0
498,0.0,0.0,0.0
499,0.0,0.0,0.0
500,0.0,0.0,0.0
501,0.0,0.0,0.0
502,0.0,0.0,0.0
503,0.0,0.0,0.0
504,0.0,0.0,0.0
505,0.0,0.0,0.0
506,0.0,0.0,0.0
507,0.0,0.0,0.0
508,0.0,0.0,0.0
509,0.0,0.0,0.0
510,0.0,0.0,0.0
511,0.0,0.0,0.0
512,0.0,0.0,0.0
513,0.0,0.0,0.0
514,0.01924897164228637,0.009641566087247451,0.004858274188771178
515,0.034731840137169005,0.017396738809598723,0.008766016471043676
516,0.055654635400523754,0.027876701947911166,0.01404674928492539
517,0.07992507790601525,0.0400334591883536,0.02017239934902817
518,0.12187696234312531,0.0316517929024547,0.0159489741702561
519,0.1658971518017846,0.0316517929024547,0.0159489741702561
520,0.1828470350087387,0.0423342730070332,0.0213317529527175
521,0.1916510729004705,0.0423342730070332,0.0213317529527175
522,0.16683969906799978,0.0573688746356992,0.0289075156835892
523,0.306236965687086,0.0573688746356992,0.0289075156835892
524,0.5676305264075951,0.0328387351362967,0.0165470607016407
525,0.610048911785825,0.0328387351362967,0.0165470607016407
526,0.5142823075732613,0.25759749393972076,0.12980041256521294
527,0.5659160125918,0.3188918134922325,0.1606859147653302
528,0.7718839631362677,0.320474403137355,0.161483363473843
529,0.837914247324255,0.320474403137355,0.161483363473843
530,0.7567138486527406,0.32324393501632,0.1628788987137405
531,0.749336647290865,0.32324393501632,0.1628788987137405
532,0.5320859156486475,0.33471770994346,0.1686604018504582
533,0.4337941067119925,0.33471770994346,0.1686604018504582
534,0.391752522601725,0.32996994100809,0.1662680557249197
535,0.386554989525915,0.32996994100809,0.1662680557249197
536,0.354600925231425,0.3477740745157225,0.1752393536956887
537,0.3828871533193926,0.19178332543111812,0.09663741049403554
538,0.35192141632962687,0.17627297998641533,0.08882192592949043
539,0.3531767840454294,0.17690177777471472,0.08913876989832364
540,0.41134215487755627,0.20603607529922363,0.10381920712091497
541,0.1947383398582295,0.2651795996416631,0.1336209483676904
542,0.2107615039558507,0.2423288963442719,0.12210674195968584
543,0.2027960538574172,0.20127985343236596,0.10142260166048189
544,0.202426998254401,0.15420394470101206,0.07770159303668708
545,0.207224721093612,0.10661951455944547,0.05372434632674343
546,0.1919089135684385,0.10216819569956592,0.05148137798246722
547,0.11884147709585521,0.05952619062561482,0.029994562382848197
548,0.08452809286395342,0.04233905107878241,0.021334160568082187
549,0.07281132751647465,0.03647027172132737,0.018376950192308394
550,0.038497943284572685,0.019283132174494875,0.009716548377542341
551,0.015482868494882519,0.007755172722351213,0.00390774228227247
552,0.0,0.0,0.0
553,0.0,0.0,0.0
554,0.0,0.0,0.0
555,0.0,0.0,0.0
556,0.0,0.0,0.0
557,0.0,0.0,0.0
558,0.0,0.0,0.0
559,0.0,0.0,0.0
560,0.0,0.0,0.0
561,0.0,0.0,0.0
562,0.0,0.0,0.0
563,0.0,0.0,0.0
564,0.0,0.0,0.0
565,0.0,0.0,0.0
566,0.0,0.0,0.0
567,0.0,0.0,0.0
568,0.0,0.0,0.0
569,0.0,0.0,0.0
570,0.0,0.0,0.0
571,0.0,0.0,0.0
572,0.0,0.0,0.0
573,0.0,0.0,0.0
574,0.0,0.0,0.0
575,0.0,0.0,0.0
576,0.0,0.0,0.0
577,0.0,0.0,0.0
578,0.0,0.0,0.0
579,0.0,0.0,0.0
580,0.0,0.0,0.0
581,0.0,0.0,0.0
582,0.0,0.0,0.0
583,0.0,0.0,0.0
584,0.0,0.0,0.0
585,0.0,0.0,0.0
586,0.0,0.0,0.0
587,0.0,0.0,0.0
588,0.0,0.0,0.0
589,0.0,0.0,0.0
590,0.0,0.0,0.0
591,0.0,0.0,0.0
592,0.0,0.0,0.0
593,0.0,0.0,0.0
594,0.0,0.0,0.0
595,0.0,0.0,0.0
596,0.0,0.0,0.0
597,0.0,0.0,0.0
598,0.0,0.0,0.0
599,0.0,0.0,0.0
600,0.0,0.0,0.0
601,0.0,0.0,0.0
602,0.0,0.0,0.0
603,0.0,0.0,0.0
604,0.0,0.0,0.0
605,0.0,0.0,0.0
606,0.0,0.0,0.0
607,0.0,0.0,0.0
608,0.0,0.0,0.0
609,0.0,0.0,0.0
610,0.0,0.0,0.0
611,0.0,0.0,0.0
612,0.024688898410758598,0.012366356503208685,0.006231264720380421
613,0.04017176690564118,0.020121529225559924,0.010139007002652906
614,0.025525810221292817,0.012785555028741196,0.006442494032935697
615,0.021341251168621796,0.010689562401078672,0.0053863474701593365
616,0.029710369273963772,0.014881547656403687,0.0074986405957120405
617,0.0661160330322012,0.03311668351706743,0.016687115691866265
618,0.13410187744580992,0.0581601694582605,0.0293062400378455
619,0.2060015202282861,0.0581601694582605,0.0293062400378455
620,0.3766464544776397,0.0656774702725937,0.0330941214032815
621,0.2570472275008025,0.0656774702725937,0.0330941214032815
622,0.125325131857594,0.37573142963406303,0.189326743184975
623,0.121019483155738,0.3990840794666704,0.2010938746752864
624,0.146269037328765,0.5149893736798814,0.2594972185016346
625,0.0999218045166437,0.534124005228925,0.2691389391230725
626,0.0898342847008667,0.43982224696313493,0.2216213684304439
627,0.172871795379518,0.36216600896529494,0.18249128383132612
628,0.44565553910945743,0.22322321484605576,0.11247960893568083
629,0.34480766594008727,0.17270979251938962,0.0870264767727709
630,0.1945819959491998,0.09746365718630606,0.0491108151691001
631,0.14436728731714818,0.0723117456543561,0.03643705641578393
632,0.13976427235921,0.07000615376392728,0.03527529519672992
633,0.15148103770668866,0.07587493312138226,0.03823250557250368
634,0.16110552352783186,0.08069571616500598,0.04066164266688927
635,0.12344449205379322,0.061831782516043536,0.031156323601902163
636,0.13686278790415046,0.045103804885998,0.0227272881926149
637,0.27626005452323654,0.045103804885998,0.0227272881926149
638,0.296664149368042,0.0447081574747172,0.0225279260154867
639,0.23723689359885278,0.0447081574747172,0.0225279260154867
640,0.16319780305416745,0.08174371247883729,0.04118971594827747
641,0.17993603926485113,0.09012768298948717,0.04541430219938281
642,0.08907595773283518,0.042729920418314,0.0215311151298457
643,0.06444220941113273,0.032278286466002386,0.016264657066755703
644,0.034731840137169005,0.017396738809598723,0.008766016471043676
645,0.04561169367411346,0.022846319641521187,0.011511997534262164
646,0.04812242910571593,0.02410391521811863,0.012145685471927944
647,0.007950662200074756,0.003982385992558705,0.002006678469275039
648,0.0,0.0,0.0
649,0.0,0.0,0.0
650,0.0,0.0,0.0
651,0.0,0.0,0.0
652,0.0,0.0,0.0
653,0.0,0.0,0.0
654,0.0,0.0,0.0
655,0.0,0.0,0.0
656,0.0,0.0,0.0
657,0.0,0.0,0.0
658,0.0,0.0,0.0
659,0.0,0.0,0.0
660,0.0,0.0,0.0
661,0.0,0.0,0.0
662,0.0,0.0,0.0
663,0.0,0.0,0.0
664,0.0,0.0,0.0
665,0.0,0.0,0.0
666,0.0,0.0,0.0
667,0.0,0.0,0.0
668,0.0,0.0,0.0
669,0.0,0.0,0.0
670,0.0,0.0,0.0
671,0.0,0.0,0.0
