t,ag1,ag2,ag3
227,0.0202981984726038,0.0202981984726038,0.0202981984726038
228,0.035621612191034394,0.0304648506686127,0.0153508876388715
229,0.05322968797449788,0.0304648506686127,0.0153508876388715
230,0.0694107927541402,0.0284866136122092,0.0143540767532305
231,0.0855515288889817,0.0284866136122092,0.0143540767532305
232,0.07366889142230429,0.042729920418314,0.0215311151298457
233,0.08540760861128019,0.042729920418314,0.0215311151298457
234,0.11156521615797141,0.0336300299588582,0.0169457850558971
235,0.2229403388553865,0.0336300299588582,0.0169457850558971
236,0.1665055862274882,0.047477689353682,0.0239234612553841
237,0.086974103777491,0.047477689353682,0.0239234612553841
238,0.315081221075105,0.3186111054402738,0.3186111054402738
239,0.3323038158825275,0.3811657809947281,0.3811657809947281
240,0.3274753384097325,0.4623293716686071,0.3943383863595825
241,0.31262085038833,0.5681589179045716,0.3943383863595825
242,0.3246459121199425,0.5025189297026361,0.3423048581291225
243,0.32489194918862,0.6247957532938947,0.3423048581291225
244,0.3122825494188975,0.326013466895285,0.1642744339536377
245,0.332211551981775,0.326013466895285,0.1642744339536377
246,0.3373168211568325,0.45776401528701,0.2306620190011112
247,0.328274958882935,0.45776401528701,0.2306620190011112
248,0.29421175163312585,0.29421175163312585,0.1877991708547655
249,0.19516632535114353,0.19516632535114353,0.1877991708547655
250,0.1714341822806656,0.1714341822806656,0.1714341822806656
251,0.0818380799688485,0.24448198489030024,0.1923845009287142
252,0.0602483271923992,0.266432035646312,0.254386138015585
253,0.0777477137020852,0.27461109298751096,0.254386138015585
254,0.076025454221343,0.2350145623007265,0.1184211332141515
255,0.0646154851614245,0.16985856711800523,0.1184211332141515
256,0.107518199012061,0.0909989045945575,0.0458533007394862
257,0.0761484727556817,0.0909989045945575,0.0458533007394862
258,0.06529661436367723,0.06529661436367723,0.06529661436367723
259,0.05747080290436006,0.05747080290436006,0.05747080290436006
260,0.056245699115650846,0.056245699115650846,0.0291068778607175
261,0.0349692742106323,0.0349692742106323,0.0291068778607175
262,0.0202981984726038,0.0202981984726038,0.0202981984726038
263,0.009048594499835399,0.009048594499835399,0.009048594499835399
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.0,0.0,0.0
271,0.0,0.0,0.0
272,0.0,0.0,0.0
273,0.0,0.0,0.0
