t,ag1,ag2,ag3
227,0.02616209821372713,0.02309512800097314,0.011637369203111128
228,0.051263958905356476,0.020063583017739955,0.010109808575422166
229,0.06723711850962251,0.021150708950769252,0.010657598821590342
230,0.09122340475371055,0.01398247176471774,0.007045606601151621
231,0.10530008228836114,0.015354952910913955,0.007737184055146315
232,0.10279833628115649,0.02336050238714028,0.011771088302167231
233,0.11215532092874697,0.024944218570407142,0.012569104660285785
234,0.12986600048281743,0.02146105304893362,0.01081397764097566
235,0.2229403388553865,0.0336300299588582,0.0169457850558971
236,0.1665055862274882,0.047477689353682,0.0239234612553841
237,0.086974103777491,0.047477689353682,0.0239234612553841
238,0.2000692477249606,0.5001927926297366,0.25204139160095557
239,0.23978852635146117,0.5684243589249821,0.28642249259554065
240,0.25776160047381574,0.6159908140583724,0.3103906819057341
241,0.26761677756682756,0.669930904427274,0.3375704726583827
242,0.2820099069997187,0.5901101033280428,0.2973496896239398
243,0.3117346326560544,0.6518155658971929,0.3284423620583901
244,0.3122825494188975,0.326013466895285,0.1642744339536377
245,0.332211551981775,0.326013466895285,0.1642744339536377
246,0.3373168211568325,0.45776401528701,0.2306620190011112
247,0.328274958882935,0.45776401528701,0.2306620190011112
248,0.2899341665790839,0.3233540986440352,0.16293440889789818
249,0.20964808170657087,0.2450206527943931,0.12346308705608862
250,0.16494824303066438,0.23230066979649236,0.11705363401484009
251,0.06470783632478593,0.301881909537445,0.15211481992563206
252,0.04272009158884829,0.3579696316620658,0.18037677760338222
253,0.05636100641956969,0.3659739013206095,0.18441003696500205
254,0.076025454221343,0.2350145623007265,0.1184211332141515
255,0.05454474159099348,0.19838601441727477,0.09996442948531302
256,0.107518199012061,0.0909989045945575,0.0458533007394862
257,0.0761484727556817,0.0909989045945575,0.0458533007394862
258,0.027032845179421387,0.1122802647248211,0.05657673318678919
259,0.029763184764451615,0.09485359106127417,0.04779563288735443
260,0.05634763623922729,0.05668680912852888,0.02856383072426302
261,0.0439581242106787,0.036629911321648834,0.01845739074965456
262,0.025377300256667665,0.02361697384369187,0.011900321317451869
263,0.009177907760330332,0.011947611703918878,0.0060202640352569935
264,0.0,0.0,0.0
