t,Equal,Proportional,InstantLoad
199,0.1295437111154623,0.1295437111154623,0.1295437111154623
200,0.14393376818668469,0.14393376818668469,0.14393376818668469
201,0.1500231856364525,0.1500231856364525,0.1500231856364525
202,0.1101826663656012,0.1101826663656012,0.1101826663656012
203,0.1127353009531302,0.1127353009531302,0.1127353009531302
204,0.1244321418538301,0.1244321418538301,0.1244321418538301
205,0.1235402574798741,0.1235402574798741,0.1235402574798741
206,0.14485195853674648,0.14485195853674648,0.14485195853674648
207,0.1372248094077445,0.1372248094077445,0.1372248094077445
208,0.1292041501287157,0.1292041501287157,0.1292041501287157
209,0.1445507122874739,0.1445507122874739,0.1445507122874739
210,0.2332304126838467,0.2332304126838467,0.2332304126838467
211,0.2375975706528722,0.2375975706528722,0.2375975706528722
212,0.2290069477442257,0.2290069477442257,0.2290069477442257
213,0.3192717973152782,0.3192717973152782,0.3192717973152782
214,0.4315254641000929,0.4315254641000929,0.4315254641000929
215,0.43490847379440795,0.43490847379440795,0.43490847379440795
216,0.2215611377765677,0.2215611377765677,0.2215611377765677
217,0.22958809714217068,0.22958809714217068,0.22958809714217068
218,0.16696906593536773,0.16696906593536773,0.16696906593536773
219,0.17468847896512402,0.17468847896512402,0.17468847896512402
220,0.2162405861664172,0.2162405861664172,0.2162405861664172
221,0.1929285739092255,0.1929285739092255,0.1929285739092255
222,0.1944869800835254,0.1944869800835254,0.1944869800835254
223,0.19593244786200562,0.19593244786200562,0.19593244786200562
224,0.15848893858166452,0.15848893858166452,0.15848893858166452
225,0.17589606119059653,0.17589606119059653,0.17589606119059653
226,0.1578364212219675,0.1578364212219675,0.1578364212219675
227,0.1247946308376445,0.12479463083764449,0.1247946308376445
228,0.04221836541180482,0.042218365411804806,0.04221836541180482
229,0.04361665318367712,0.04361665318367709,0.04361665318367711
230,0.116439457998115,0.11643945799811498,0.11643945799811498
231,0.1098019036409415,0.1098019036409415,0.10980190364094147
232,0.11436493831446368,0.11436493831446365,0.11436493831446368
233,0.10671658739225101,0.10671658739225101,0.10671658739225101
234,0.09193819427189359,0.09193819427189359,0.09193819427189359
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.5474419391425047,0.5474419391425047,0.5474419391425047
239,0.4223325880335964,0.4223325880335964,0.4223325880335962
240,0.32026120784458767,0.3202612078445879,0.32026120784458767
241,0.21443166160862326,0.21443166160862326,0.21443166160862326
242,0.17680767546629905,0.1768076754662986,0.1768076754662986
243,0.054530851875040476,0.054530851875040254,0.054530851875040254
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.11845620669134826,0.11845620669134826,0.11845620669134826
249,0.3012620063637229,0.3012620063637229,0.3012620063637228
