,PV_total,Load_total,Alloc_total__Equal,Alloc_total__Proportional,Alloc_total__InstantLoad,Alloc_total__FixedCustom,Alloc_total__Hierarchical(ILxFix)
80,0.0,0.18326146163136162,0.0,0.0,0.0,0.0,0.0
81,0.0,0.20426687636970192,0.0,0.0,0.0,0.0,0.0
82,0.0,0.22006794372762858,0.0,0.0,0.0,0.0,0.0
83,0.0,0.2166849340333131,0.0,0.0,0.0,0.0,0.0
84,0.0,0.2889923434248267,0.0,0.0,0.0,0.0,0.0
85,0.0,0.2609441175955932,0.0,0.0,0.0,0.0,0.0
86,0.0,0.23031553679790343,0.0,0.0,0.0,0.0,0.0
87,0.0,0.2460619091932624,0.0,0.0,0.0,0.0,0.0
88,0.0,0.239299669856576,0.0,0.0,0.0,0.0,0.0
89,0.0,0.2617813070069812,0.0,0.0,0.0,0.0,0.0
90,0.0,0.1517453679234417,0.0,0.0,0.0,0.0,0.0
91,0.0,0.1338154165435697,0.0,0.0,0.0,0.0,0.0
92,0.0,0.1382490466552704,0.0,0.0,0.0,0.0,0.0
93,0.0,0.1186583450618257,0.0,0.0,0.0,0.0,0.0
94,0.0,0.1440535980808596,0.0,0.0,0.0,0.0,0.0
95,0.0,0.17603841700893258,0.0,0.0,0.0,0.0,0.0
96,0.0,0.2132190719712284,0.0,0.0,0.0,0.0,0.0
97,0.0,0.21976980892476639,0.0,0.0,0.0,0.0,0.0
98,0.0,0.2673441156338649,0.0,0.0,0.0,0.0,0.0
99,0.0,0.23874230640010743,0.0,0.0,0.0,0.0,0.0
100,0.0,0.208241784206016,0.0,0.0,0.0,0.0,0.0
101,0.0,0.20818027493884653,0.0,0.0,0.0,0.0,0.0
102,0.0,0.1727891745930091,0.0,0.0,0.0,0.0,0.0
103,0.0,0.1957321312471846,0.0,0.0,0.0,0.0,0.0
104,0.0,0.20449097892599902,0.0,0.0,0.0,0.0,0.0
105,0.0,0.1952338342170085,0.0,0.0,0.0,0.0,0.0
106,0.0,0.1814682041567115,0.0,0.0,0.0,0.0,0.0
107,0.0,0.16209278499835952,0.0,0.0,0.0,0.0,0.0
108,0.0,0.1858924999291808,0.0,0.0,0.0,0.0,0.0
109,0.0,0.2027152845000038,0.0,0.0,0.0,0.0,0.0
110,0.0,0.15290530107220848,0.0,0.0,0.0,0.0,0.0
111,0.0,0.16163961701025928,0.0,0.0,0.0,0.0,0.0
112,0.0,0.1459866913392157,0.0,0.0,0.0,0.0,0.0
113,0.0,0.178432829771059,0.0,0.0,0.0,0.0,0.0
114,0.0,0.5207328789491582,0.0,0.0,0.0,0.0,0.0
115,0.0,0.5213479716208532,0.0,0.0,0.0,0.0,0.0
116,0.0,0.4621803508738885,0.0,0.0,0.0,0.0,0.0
117,0.0,0.23837888227813148,0.0,0.0,0.0,0.0,0.0
118,0.0,0.2686979881171252,0.0,0.0,0.0,0.0,0.0
119,0.0,0.25162916647762473,0.0,0.0,0.0,0.0,0.0
120,0.0,0.2817492929128659,0.0,0.0,0.0,0.0,0.0
121,0.0,0.2641576425024259,0.0,0.0,0.0,0.0,0.0
122,0.0,0.23259641975242962,0.0,0.0,0.0,0.0,0.0
123,0.0,0.2586455943986586,0.0,0.0,0.0,0.0,0.0
124,0.0,0.2561187515692082,0.0,0.0,0.0,0.0,0.0
125,0.0,0.2555959227982684,0.0,0.0,0.0,0.0,0.0
126,0.0,0.22078152319289768,0.0,0.0,0.0,0.0,0.0
127,0.0,0.1955627236534555,0.0,0.0,0.0,0.0,0.0
128,0.0,0.1988571723052077,0.0,0.0,0.0,0.0,0.0
129,0.0,0.2001796215493492,0.0,0.0,0.0,0.0,0.0
130,0.033015142093994,0.2038231971083402,0.033015142093994,0.033015142093994004,0.033015142093994,0.033015142093994,0.033015142093994
131,0.060160925593500204,0.2221837133583977,0.0601609255935002,0.060160925593500204,0.060160925593500204,0.060160925593500204,0.0601609255935002
132,0.0792363410255858,0.21213257965724572,0.0792363410255858,0.07923634102558581,0.0792363410255858,0.0792363410255858,0.0792363410255858
133,0.0983117564576712,0.1982314852769677,0.0983117564576712,0.0983117564576712,0.09831175645767119,0.0983117564576712,0.0983117564576712
134,0.11151781329526901,0.2304711613949224,0.11151781329526901,0.11151781329526902,0.111517813295269,0.11151781329526902,0.11151781329526901
135,0.1239902003085553,0.21930722940368141,0.1239902003085553,0.12399020030855532,0.1239902003085553,0.1239902003085553,0.1239902003085553
136,0.1357289174975313,0.20219883300939223,0.1357289174975313,0.13572891749753133,0.1357289174975313,0.1357289174975313,0.1357289174975313
137,0.1467339648621957,0.22129746046548202,0.1467339648621957,0.1467339648621957,0.1467339648621957,0.1467339648621957,0.1467339648621957
138,0.1614073613484155,0.19452202898708199,0.1614073613484155,0.16140736134841552,0.1614073613484155,0.1614073613484155,0.1614073613484155
139,0.3206137132238985,0.1896627968807017,0.1896627968807017,0.1896627968807017,0.1896627968807017,0.1896627968807017,0.1896627968807017
140,0.5744634724354976,0.2131223594129956,0.2131223594129956,0.2131223594129956,0.2131223594129956,0.2131223594129956,0.2131223594129956
141,0.7013883520412971,0.1923014724761634,0.1923014724761634,0.1923014724761634,0.1923014724761634,0.1923014724761634,0.1923014724761634
142,0.9376300354694341,1.2731162681407442,0.937630035469434,0.9376300354694341,0.9376300354694341,0.937630035469434,0.9376300354694341
143,1.082896660683007,1.2780985187814635,1.082896660683007,1.082896660683007,1.082896660683007,1.082896660683007,1.082896660683007
144,1.170203369776013,1.3617777368829271,1.170203369776013,1.170203369776013,1.170203369776013,1.170203369776013,1.170203369776013
145,1.2729171451795513,1.367467344096094,1.2729171451795513,1.2729171451795513,1.2729171451795513,1.2729171451795513,1.2729171451795513
146,1.1753390585461898,1.1769198546693536,1.1753390585461898,1.1753390585461896,1.1753390585461898,1.1753390585461898,1.1753390585461898
147,1.2956609097331906,1.1779040029440633,1.1779040029440633,1.1779040029440633,1.1779040029440633,1.1779040029440633,1.1779040029440633
148,1.45413359178436,0.6710355568482557,0.6710355568482557,0.6710355568482557,0.6710355568482557,0.6710355568482557,0.6710355568482557
149,1.4952191019457775,0.6562425780940219,0.6562425780940219,0.6562425780940219,0.6562425780940219,0.6562425780940219,0.6562425780940219
150,1.4233194591633,1.088256593999032,1.088256593999032,1.088256593999032,1.088256593999032,1.088256593999032,1.088256593999032
151,1.078494641737142,1.098436377715563,1.0784946417371417,1.078494641737142,1.078494641737142,1.078494641737142,1.078494641737142
152,0.7476095509728896,0.6846022075048006,0.6846022075048006,0.6846022075048006,0.6846022075048006,0.6846022075048006,0.6846022075048006
153,0.5612574155978997,0.6816497626806707,0.5612574155978997,0.5612574155978997,0.5612574155978998,0.5612574155978997,0.5612574155978997
154,0.505498508950265,0.8380016657247205,0.505498508950265,0.505498508950265,0.505498508950265,0.505498508950265,0.505498508950265
155,0.5106341977204422,0.8242543445123659,0.5106341977204422,0.5106341977204422,0.5106341977204422,0.5106341977204422,0.5106341977204423
156,0.5773981517327413,1.04703787594717,0.5773981517327413,0.5773981517327413,0.5773981517327413,0.5773981517327413,0.5773981517327413
157,0.592071548218961,1.1245703072141624,0.592071548218961,0.592071548218961,0.592071548218961,0.592071548218961,0.592071548218961
158,0.45854364019436245,0.9927511902377091,0.45854364019436245,0.4585436401943625,0.45854364019436245,0.4585436401943624,0.45854364019436245
159,0.34629215707478245,0.945942637921819,0.34629215707478245,0.3462921570747825,0.34629215707478245,0.34629215707478245,0.3462921570747825
160,0.2545834290359099,0.5000058247054086,0.2545834290359099,0.25458342903590997,0.25458342903590997,0.2545834290359099,0.2545834290359099
161,0.22450296623915997,0.6115528807170638,0.22450296623915997,0.22450296623916002,0.22450296623916,0.22450296623915997,0.22450296623916
162,0.1929551637937877,0.4579342828163532,0.1929551637937877,0.19295516379378772,0.1929551637937877,0.1929551637937877,0.19295516379378766
163,0.1694777294158361,0.5752017006747607,0.1694777294158361,0.1694777294158361,0.1694777294158361,0.1694777294158361,0.1694777294158361
164,0.137929926970464,0.8276367877121612,0.137929926970464,0.13792992697046402,0.137929926970464,0.137929926970464,0.137929926970464
165,0.0931760676874945,0.7886091576931937,0.0931760676874945,0.09317606768749451,0.0931760676874945,0.0931760676874945,0.09317606768749451
166,0.056492576471945305,0.450807796364651,0.056492576471945305,0.056492576471945305,0.056492576471945305,0.056492576471945305,0.056492576471945305
167,0.022743764553640296,0.5286477739674885,0.022743764553640296,0.022743764553640296,0.022743764553640296,0.022743764553640296,0.0227437645536403
168,0.0,0.9172057752541072,0.0,0.0,0.0,0.0,0.0
169,0.0,0.8070119231201772,0.0,0.0,0.0,0.0,0.0
170,0.0,0.5049240970998359,0.0,0.0,0.0,0.0,0.0
171,0.0,0.4174271645514059,0.0,0.0,0.0,0.0,0.0
172,0.0,0.3569152372416733,0.0,0.0,0.0,0.0,0.0
173,0.0,0.3755217905604083,0.0,0.0,0.0,0.0,0.0
174,0.0,0.38540032802766644,0.0,0.0,0.0,0.0,0.0
175,0.0,0.5769401859930889,0.0,0.0,0.0,0.0,0.0
