case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv02_weighted_export__no_deg,Apt7,265.99010256848595,41.17021268864032,225.536357625241,0.0,7.3483871322599,6.631919386864561,0.0,0.0,1.0,7.3483871322599,1.0,0.15208740683435426,2.4,0.24,2.497918010417545,47.02871609978422,0.0,0.1043472507940032,1.73912084656672,0.0,1.73912084656672,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__no_deg,Apt8,42.664936467960885,41.17021268864032,5.748717690895887,1.3151253682341926,30.14224147016533,27.20337292682421,0.0,0.0,0.9680563863446578,31.457366838399523,0.9581934058565628,0.8652589651642193,1.2,0.12,1.9076307158509611,0.7259129546313727,-0.0058574725779911505,0.024900678511494717,0.7114479574712775,-0.3904981718660767,0.7114479574712775,0.3904981718660767,-1.8648277366750676e-17,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__no_deg,_COMMUNITY,1248.651446164792,411.7021268864032,854.0456566566655,1.4735617374022199,160.23359631666204,144.61082067578747,0.0,0.0,0.9964208061091488,161.70715805406425,0.9908874674743245,0.31602557360594935,13.739999999999998,1.38,14.793041221391867,172.4941070713047,-0.004585060024796641,0.2956143687634887,5.602212410322856,-0.3056706683197761,5.602212410322856,0.3904981718660767,1.0774268932043525,854.0456566566655,1.4735617374022199,0.0,0.0,0.9964208061091488,161.70715805406425,0.9908874674743245,0.31602557360594935,0.0012615565512295419,21.56176338391309,17.36898560428531,0.7259129546313727,48.935151588965944,48.20923863433457,0.8055456919281496,0.44687645525829
b8_pv02_weighted_export__with_deg,Apt1,242.03226949001305,102.9255317216008,143.89066501331047,0.15843636916802734,47.44093205877138,42.81544118304117,0.0,0.0,0.9984606698987324,47.59936842793941,0.9966714606852843,0.4054897501209118,1.78,0.1799999999999999,3.55,27.30986067549049,-0.00362139876068401,0.10478780264241269,1.746463377373545,-0.2414265840456007,1.746463377373545,0.2414265840456007,-2.7755575615628907e-17,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,Apt2,117.94368032413539,61.755319032960486,60.39024289298251,2.3282119486278168,19.21712464799792,17.34345499481812,0.0,0.0,0.9622994102356561,21.545336596625738,0.8919389382390784,0.4879738979908314,1.78,0.1799999999999999,3.55,11.74995975704752,-0.009115479654576758,0.06950824028820311,1.158470671470052,-0.6076986436384506,1.158470671470052,0.6076986436384506,-7.806255641895632e-18,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,Apt3,59.43046312832059,41.17021268864032,22.749716459992516,3.112586604777726,14.121840159328414,12.744960743793893,0.0,0.0,0.9243971210856399,17.23442676410614,0.8193971492419894,0.6172044560569556,1.2,0.12,2.4,3.9611072865616856,-0.006334604814477262,0.030151375217458438,0.502522920290974,-0.4223069876318175,0.502522920290974,0.4223069876318175,-3.469446951953614e-18,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,Apt4,149.81598662198513,41.17021268864032,109.54569750116923,0.0,9.22998531101981,8.33006174319538,0.0,0.0,1.0,9.22998531101981,1.0,0.2687983440807667,1.78,0.1799999999999999,1.7800000000000002,22.983053450367347,0.0,0.10124703981252328,1.6874506635420548,0.0,1.6874506635420548,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,Apt5,278.96668994884067,41.17021268864032,238.54552033099037,0.0,7.682493033744173,6.933449962954117,0.0,0.0,1.0,7.682493033744173,1.0,0.14489604341386808,2.4,0.2399999999999999,2.4,48.935151588965944,0.0,0.12077854953705855,2.0129758256176427,0.0,2.0129758256176427,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,Apt6,91.80731761505041,41.17021268864032,52.54905983653211,0.0,19.60979394996956,17.69783903984753,0.0,0.0,1.0,19.60979394996956,1.0,0.4276157805103164,1.2,0.1199999999999999,2.134634917502227,10.1613422424746,-1.6653345369377351e-18,0.036015780675282,0.6002630112547,-2.775557561562892e-17,0.6002630112547,0.0,-8.673617379884037e-18,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,Apt7,265.99010256848595,41.17021268864032,225.53635762524098,0.0,7.3483871322599,6.631919386864562,0.0,0.0,1.0,7.3483871322599,1.0,0.15208740683435437,2.4,0.2399999999999999,2.497918010417545,47.02871609978422,0.0,0.1043472507940032,1.73912084656672,0.0,1.73912084656672,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,Apt8,42.664936467960885,41.17021268864032,21.074925659117238,18.29707325546007,13.160293582939456,11.877164958602858,0.0,0.0,0.5555749640198338,31.457366838399526,0.41835331134184084,0.5060363988835799,1.2,0.12,1.3927664761421945,1.8526651969488095,-0.00782161767211482,0.024900678511494717,0.7114479574712775,-0.521441178140988,0.7114479574712775,0.521441178140988,-4.7704895589362195e-18,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__with_deg,_COMMUNITY,1248.651446164792,411.7021268864032,874.2821853193354,23.896308178033635,137.8108498760306,124.37429201311762,0.0,0.0,0.941957287520579,161.70715805406422,0.852224796566864,0.2998188661818511,13.739999999999998,1.38,13.932766476142193,173.9818562976406,-0.021257314702725995,0.30648464874826287,5.717200101918731,-1.4245706765571053,5.717200101918731,1.4319037200366138,14.96954399520972,874.2821853193354,23.896308178033635,0.0,0.0,0.941957287520579,161.70715805406422,0.852224796566864,0.2998188661818511,0.01712209655712249,21.747732037205076,17.165098363679306,1.8526651969488095,48.935151588965944,47.08248639201713,0.7892822265013199,0.4365355321614359
