t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y
243,1.19275,0.1305886374933728,0.25,0.05,1.062161362506627,0.0,0.0,0.0,0.5,0,1
244,1.0525,0.144270132136656,0.25,0.05,0.908229867863344,0.0,0.0,-0.0,0.5,0,1
245,1.3405,0.162129807778786,0.25,0.05,1.178370192221214,0.0,0.0,0.0,0.5,0,1
246,1.14,0.16770071577724832,0.25,0.05,0.9722992842227516,0.0,0.0,0.0,0.5,0,1
247,1.2445,0.16008167983817478,0.25,0.05,1.0844183201618252,0.0,0.0,-0.0,0.5,0,1
248,1.25275,0.1200202973198188,0.25,0.05,1.1327297026801812,0.0,0.0,-0.0,0.5,0,1
249,1.46725,0.0866767744466678,0.25,0.05,1.380573225553332,0.0,0.0,0.0,0.5,0,1
250,1.36025,0.06455699268806633,0.25,0.05,1.2956930073119337,0.0,0.0,0.0,0.5,0,1
251,1.30475,0.05742950745473913,0.25,0.05,1.247320492545261,0.0,0.0,0.0,0.5,0,1
252,1.30625,0.057921058160486,0.25,0.05,1.2483289418395138,0.0,0.0,0.0,0.5,0,1
253,1.216,0.06488469315856413,0.25,0.05,1.151115306841436,0.0,0.0,0.0,0.5,0,1
254,1.22425,0.0677520722754198,0.25,0.05,1.1564979277245802,0.0,0.0,0.0,0.5,0,1
255,1.373,0.05292362598539446,0.25,0.05,1.3200763740146055,0.0,0.0,0.0,0.5,0,1
256,1.66875,0.03940598157736033,0.25,0.05,1.6293440184226395,0.0,0.0,0.0,0.5,0,1
257,1.71175,0.028591866050933,0.25,0.05,1.683158133949067,0.0,0.0,0.0,0.5,0,1
258,1.60425,0.02498716087545713,0.25,0.05,1.579262839124543,0.0,0.0,0.0,0.5,0,1
259,1.443,0.021874006405727998,0.25,0.05,1.4211259935942722,0.0,0.0,0.0,0.5,0,1
260,1.37025,0.019252402641745665,0.25,0.05,1.3509975973582542,0.0,0.0,0.0,0.5,0,1
261,1.44475,0.015811547701518797,0.25,0.05,1.4289384522984812,0.0,0.0,0.0,0.5,0,1
262,1.3895,0.011059890879300666,0.25,0.05,1.3784401091206993,0.0,0.0,0.0,0.5,0,1
263,1.37175,0.006799784762829332,0.25,0.05,1.3649502152371706,0.0,0.0,0.0,0.5,0,1
264,0.9935,0.0030312293521045997,0.25,0.05,0.9904687706478954,0.0,0.0,0.0,0.5,0,1
265,0.80825,0.0,0.25,0.05,0.80825,0.0,0.0,0.0,0.5,0,1
266,0.82475,0.0,0.25,0.05,0.82475,0.0,0.0,0.0,0.5,0,1
267,0.672,0.0,0.25,0.05,0.672,0.0,0.0,0.0,0.5,0,1
268,0.7185,0.0,0.25,0.05,0.7185,0.0,0.0,0.0,0.5,0,1
269,0.6525,0.0,0.25,0.05,0.6525,0.0,0.0,0.0,0.5,0,1
270,0.69,0.0,0.25,0.05,0.69,0.0,0.0,0.0,0.5,0,1
271,0.658,0.0,0.25,0.05,0.658,0.0,0.0,-0.0,0.5,0,1
272,0.79725,0.0,0.25,0.05,0.79725,0.0,0.0,0.0,0.5,0,1
273,0.65,0.0,0.25,0.05,0.65,0.0,0.0,0.0,0.5,0,1
274,0.6185,0.0,0.25,0.05,0.6185,0.0,0.0,-0.0,0.5,0,1
275,0.81675,0.0,0.25,0.05,0.81675,0.0,0.0,0.0,0.5,0,1
276,0.6255,0.0,0.25,0.05,0.6255,0.0,0.0,-0.0,0.5,0,1
277,0.7855,0.0,0.25,0.05,0.7855,0.0,0.0,0.0,0.5,0,1
278,0.7055,0.0,0.25,0.05,0.7055,0.0,0.0,-0.0,0.5,0,1
279,0.69225,0.0,0.25,0.05,0.69225,0.0,0.0,0.0,0.5,0,1
280,0.7615,0.0,0.25,0.05,0.7615,0.0,0.0,0.0,0.5,0,1
281,0.653,0.0,0.25,0.05,0.653,0.0,0.0,-0.0,0.5,0,1
282,0.62125,0.0,0.25,0.05,0.62125,0.0,0.0,0.0,0.5,0,1
283,0.59,0.0,0.25,0.05,0.59,0.0,0.0,-0.0,0.5,0,1
284,0.77525,0.0,0.25,0.05,0.77525,0.0,0.0,0.0,0.5,0,1
285,0.6785,0.0,0.25,0.05,0.6785,0.0,0.0,0.0,0.5,0,1
286,0.66525,0.0,0.25,0.05,0.66525,0.0,0.0,0.0,0.5,0,1
287,0.62475,0.0,0.25,0.05,0.62475,0.0,0.0,0.0,0.5,0,1
288,0.90225,0.0,0.25,0.05,0.90225,0.0,0.0,0.0,0.5,0,1
289,0.58775,0.0,0.25,0.05,0.58775,0.0,0.0,0.0,0.5,0,1
290,0.71075,0.0,0.25,0.05,0.71075,0.0,0.0,0.0,0.5,0,1
291,0.73725,0.0,0.25,0.05,0.73725,0.0,0.0,0.0,0.5,0,1
292,0.65125,0.0,0.25,0.05,0.65125,0.0,0.0,0.0,0.5,0,1
