t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,P_share,E,c_grid,c_sell,P_simul_imp_exp
109,1.631,0.0,1.631,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
110,1.538,0.0,1.538,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
111,1.155,0.0,1.155,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
112,1.28,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
113,1.5535,0.0,1.5535,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
114,1.2875,0.0,1.2875,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
115,1.332,0.0,1.332,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
116,1.29,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
117,1.252,0.0,1.252,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
118,1.2775,0.0,1.2775,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
119,1.706,0.0,1.706,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
120,1.4455,0.0,1.4455,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
121,1.2855,0.0,1.2855,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
122,1.321,0.0,1.321,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
123,1.5115,0.0,1.5115,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
124,1.4545,0.0,1.4545,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
125,1.573,0.0,1.573,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
126,1.234,0.0,1.234,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
127,1.1805,0.0,1.1805,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
128,1.355,0.0,1.355,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
129,1.3365,0.0,1.3365,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
130,1.1675,0.0,1.1675,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
131,1.4765,0.0055299454396502,1.4709700545603497,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
132,1.9855,0.0100767894678072,1.9754232105321927,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
133,1.2525,0.013271869055160701,1.2392281309448392,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
134,1.432,0.0164669486425143,1.4155330513574855,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
135,1.2755,0.0186789268183744,1.2568210731816256,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
136,1.6105,0.0207680173177979,1.589731982682202,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
137,1.2885,0.022734220140784703,1.2657657798592152,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
138,1.1445,0.0245775352873348,1.119922464712665,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
139,1.376,0.027035288816068398,1.3489647111839314,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
140,1.304,0.053701914602826605,1.2502980853971737,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
141,1.391,0.09622105064991611,1.294778949350084,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
142,1.2575,0.11748061867346099,1.140019381326539,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
143,1.216,0.15705045048607008,1.0589495495139296,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
144,1.47,0.1813822104205316,1.2886177895794684,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
145,1.3005,0.1960058439164959,1.104494156083504,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
146,1.347,0.2132101186176304,1.1337898813823697,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
147,1.316,0.1968660576515526,1.1191339423484474,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
148,1.37,0.2170196365871671,1.152980363412833,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
149,1.35,0.243563374697489,1.106436625302511,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
150,1.57,0.2504450845779424,1.3195549154220574,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
151,2.038,0.2384020922871487,1.799597907712851,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
152,2.065,0.1806448843619116,1.884355115638088,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
153,2.036,0.1252225422889714,1.9107774577110288,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
154,1.881,0.094009072474056,1.786990927525944,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
155,2.2035,0.0846696090648686,2.118830390935132,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
156,1.863,0.0855298227999254,1.7774701772000745,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
157,1.875,0.0967126013556629,1.778287398644337,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
158,1.8925,0.0991703548843964,1.7933296451156036,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
159,1.956,0.0768047977729214,1.8791952022270784,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
160,1.5685,0.0580029832781104,1.5104970167218896,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
161,1.5465,0.0426420237235258,1.503857976276474,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
162,1.9395,0.0376036289896224,1.9018963710103776,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
163,1.745,0.032319458902845405,1.7126805410971546,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
164,1.2845,0.028387053256871603,1.2561129467431282,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
165,1.3135,0.0231028831700947,1.290397116829905,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
166,1.324,0.015606734907457499,1.3083932650925425,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
