case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
b8_pv02_weighted_export__1month,Apt6,295.3211835955126,42.95458386483439,253.13186492675894,7.181755190543981e-16,7.848873805956269,7.083608609875537,0.0,0.0,1.0,0.14285910057349074,5.0,0.9999999999999996,5.0,68.34560353022492,-1.3322676295501878e-17,0.1358758682291909,2.0129758256176427,-8.881784197001252e-16,2.0129758256176427,8.881784197001252e-16,-3.21097315403307e-15,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1month,Apt7,96.88521535118599,42.95458386483439,55.912122404162844,0.00026697373995100893,20.320245580218355,18.339021636147066,0.0,0.0,0.9999937847438868,0.4229034615705335,5.0,0.9999999999999998,5.368849707897205,15.09625703069957,-8.875699017339001e-06,0.04051775325969226,0.6002630112547,-0.0005917132678226,0.6002630112547,0.0005917132678226,-4.723652025084846e-15,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1month,Apt8,280.7021165424741,42.95458386483439,238.48517923096284,2.7343278722788165e-05,7.565325231224856,6.827706021180434,0.0,0.0,0.9999993634374666,0.15039764513183937,5.0,1.0,5.0,64.39099675176325,-1.640596723365e-06,0.11739065714325361,1.73912084656672,-0.000109373114891,1.73912084656672,0.000109373114891,-2.6281060661048627e-15,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1month,_COMMUNITY,1325.3737825495054,429.5458386483439,966.9600288615943,58.382864691585034,130.76123352664445,118.0120132577966,0.0,0.0,0.8640823413042507,0.27042465937304266,40.0,8.00260857731626,40.49092089120748,257.57623591113537,-0.01879479190985092,0.3447952298417957,5.108077479137714,-1.2529861273233946,5.108077479137714,1.3593687021037744,41.216738153354285,966.9600288615943,58.382864691585034,0.0,0.0,0.8640823413042507,0.27042465937304266,0.04262506920981926,32.19702948889193,25.210404561771092,-3.5029445059466204,68.34560353022492,71.84854803617154,0.7830040522983264,0.4442074466429027,,,,,
b8_pv02_weighted_export__1year,Apt1,466.8050932923151,3143.2416836264947,4.751931295226847,2653.359374480611,285.42715024405675,257.5980030952611,0.0,0.0,0.15585257465174773,0.9898203096677629,5.0,0.9999999999999996,10.0,-157.91854101912543,-0.04640172320780149,0.04632114408142219,0.686239171576625,-3.0934482138534327,0.686239171576625,3.0934482138534327,-4.740478842801821e-14,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1year,Apt2,2267.7957475663648,1885.9450101758969,946.6843562952222,483.7508837221845,831.617796744303,750.5350615617334,0.0,0.0,0.743496824609395,0.5825530772287867,5.0,0.9999999999999996,10.0,226.5797231763789,-0.027288252995426598,0.13477403170698496,1.9966523215849623,-1.8192168663617732,1.9966523215849623,1.8192168663617732,-1.2622802109119036e-13,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1year,Apt3,1518.5875445649422,1257.2966734505978,742.0185176799614,440.0503557088464,417.2029831463648,376.5256922895941,0.0,0.0,0.6500027678422574,0.5113758700736999,5.0,0.9999999999999996,10.0,173.94197843105886,-0.01789767053962742,0.10126991406202408,1.5002950231410974,-1.1931780359751614,1.5002950231410974,1.1931780359751614,-9.059723457549573e-14,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1year,Apt4,765.198786627361,1257.2966734505978,267.1542305423011,731.7989106294051,281.57135113982514,254.11814440369213,0.0,0.0,0.4179584452243767,0.6508695057923547,5.0,0.9999999999999978,10.0,28.223707608657,-0.018301036695810773,0.051028744203429136,0.7559813956063575,-1.2200691130540515,0.7559813956063575,1.2200691130540515,-6.278874989384953e-14,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1year,Apt5,1928.9604210722466,1257.2966734505978,1027.883004836652,309.37570240255945,480.4467160250612,433.6031612126177,0.0,0.0,0.7539357981807978,0.4671311066790655,5.0,0.9999999999999972,10.0,258.9658691617425,-0.017283992684207015,0.12863641399547787,1.9057246517848572,-1.1522661789471345,1.9057246517848572,1.1522661789471345,-9.653475935289535e-14,,,,,,,,,,,,,,,,,,,
b8_pv02_weighted_export__1year,Apt6,2613.864153369639,1257.2966734505978,1468.1530210445464,43.9772779354498,693.418084000567,625.8098208105116,0.0,0.0,0.9650223540202679,0.43832084037271396,5.0,0.9999999999999996,10.0,393.76267900590057,-0.016566485170046424,0.15534071384604797,2.30134390883034,-1.1044323446697617,2.30134390883034,1.1044323446697617,-1.309152439232797e-13,,,,,,,,,,,,,,,,,,,
