case,house,runset,scenario,variant,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import
b8_pv19_optimal_pwl_export__1month,Apt3,pwl_sweep,b8_pv19_optimal_pwl_export,1month,63.713560131774756,33.17821127446835,30.920243647599584,0.0,3.947638874801827,3.562744084508648,0.0,0.0,1.0,3.947638874801827,1.0,0.5146991694758669,1.2,0.1199999999999998,2.4000000000000004,6.037724999333452,-4.163336342344337e-19,0.044306250244971444,0.7384375040828575,-6.938893903907228e-18,0.7384375040828575,0.0,-2.6020852139652106e-18,,,,,,,,,
b8_pv19_optimal_pwl_export__1month,Apt4,pwl_sweep,b8_pv19_optimal_pwl_export,1month,160.61308241416606,65.8459440299643,95.60081025764921,0.0,8.550480753307522,7.716808879860038,6.93889390390723e-18,1.0538073386493738e-19,1.0,8.550480753307522,1.0,0.40477569559914484,1.78,0.1799999999999998,3.55,19.455743463387037,0.0,0.1116899355072978,1.86149892512163,0.0,1.86149892512163,0.0,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1month,Apt5,pwl_sweep,b8_pv19_optimal_pwl_export,1month,295.3211835955126,85.57032669720486,212.62561883047738,0.0,29.48473776584261,26.609975833672955,0.0,0.0,1.0,29.48473776584261,1.0,0.280019075361351,2.4,0.2399999999999999,4.8,42.31308887370519,-3.33066907387547e-17,0.12077854953705855,2.0129758256176427,-5.551115123125784e-16,2.0129758256176427,0.0,-2.949029909160572e-16,,,,,,,,,
b8_pv19_optimal_pwl_export__1month,Apt6,pwl_sweep,b8_pv19_optimal_pwl_export,1month,96.88521535118599,33.49504387792191,64.0861950167334,0.0,7.13870300994167,6.442679466472356,-3.469446951953614e-18,-1.0358090482277239e-19,1.0,7.13870300994167,1.0,0.33853483439721843,1.2,0.1199999999999999,2.4,12.779565745678577,-3.3306690738754695e-18,0.036015780675282,0.6002630112547,-5.551115123125783e-17,0.6002630112547,0.0,-3.469446951953614e-17,,,,,,,,,
b8_pv19_optimal_pwl_export__1month,Apt7,pwl_sweep,b8_pv19_optimal_pwl_export,1month,280.7021165424741,75.60507878614183,207.18456435932083,0.0,21.41052926142112,19.32300265843256,0.0,0.0,1.0,21.41052926142112,1.0,0.261905941746004,2.4,0.24,4.8,42.18609617552294,-6.6613381477509375e-18,0.1043472507940032,1.73912084656672,-1.1102230246251563e-16,1.73912084656672,0.0,-4.1633363423443364e-17,,,,,,,,,
b8_pv19_optimal_pwl_export__1month,Apt8,pwl_sweep,b8_pv19_optimal_pwl_export,1month,45.473381948372435,17.272135093356425,28.76495628553528,0.0,5.781635184812984,5.2179257542937165,0.0,0.0,1.0,5.781635184812984,1.0,0.36743309925368717,1.2,0.1199999999999996,2.1736828983791097,4.665842931009724,-1.040834085586084e-18,0.024900678511494717,0.7114479574712775,-1.7347234759768068e-17,0.7114479574712775,0.0,-1.6479873021779667e-17,,,,,,,,,
b8_pv19_optimal_pwl_export__1month,_COMMUNITY,pwl_sweep,b8_pv19_optimal_pwl_export,1month,1325.3737825495054,429.5458386483439,905.3381504511814,0.0,97.540580000202,88.03037345018231,1.5407439555097887e-33,3.5869139376557875e-36,1.0,97.540580000202,1.0,0.3169186214701926,13.739999999999998,2.5128044732246373,18.396433388666605,181.00689192160536,0.0,0.30728408188792655,5.717200101918731,0.0,5.717200101918731,0.0,0.0,905.3381504511814,0.0,1.5407439555097887e-33,3.5869139376557875e-36,1.0,97.540580000202,1.0,0.3169186214701926,0.0
b8_pv19_optimal_pwl_export__1year,Apt1,pwl_sweep,b8_pv19_optimal_pwl_export,1year,2267.7957475663648,1954.8073460357937,1240.5701369450726,891.4000115086855,371.0946041622141,334.91288025639824,8.344019919448442e-16,4.2684615117543447e-19,0.5439959782653878,1262.4946156708995,0.29393757371789786,0.4529621381130275,1.78,0.18,3.55,152.3046011662458,-0.034499999999999996,0.10478780264241269,1.889164877206485,-2.3,1.889164877206485,2.3,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1year,Apt2,pwl_sweep,b8_pv19_optimal_pwl_export,1year,1518.5875445649422,1181.9025065966684,809.1606957733674,443.5410459824705,296.7652494628013,267.83063764017817,2.6298407895808396e-15,2.225091134761667e-18,0.6247228146933513,740.3062954452719,0.40086819643254007,0.4671622991579438,1.78,0.18,3.55,134.13566800074545,-0.034499999999999996,0.09001770138846585,1.5002950231410974,-2.3,1.5002950231410974,2.3,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1year,Apt3,pwl_sweep,b8_pv19_optimal_pwl_export,1year,765.198786627361,693.0544530357238,352.38305432713344,260.6421699604509,200.99026435944066,181.39371358439516,2.818058286724323e-15,4.066142673754764e-18,0.6239225232320729,461.63243431989156,0.4353902573062338,0.5394882212499664,1.2,0.12,2.4,52.340186444328744,-0.017249999999999998,0.04467706269825675,0.7446177116376125,-1.15,0.7446177116376125,1.15,0.0,,,,,,,,,
